,Unnamed: 0,Unnamed: 0.1,post_text,total_eng,name,year,month,day,hour,minute_of_day,day_time_sin,day_time_cos,america,uk,canada,time_zone,day_1,day_2,day_3,day_4,day_5,day_6,day_7,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,fitted_followers,eng_rate,words_count,char_count,long_post,is_response,neg,pos,neu,time,likes,comments,shares,total_reactions,top_reactions,words_count_scaled,char_count_scaled,fitted_followers_scaled,score,predictions,abs_error,error
7683,7683,4574,actually feel so judged buying some hand soap atm.. calm down everyone I'm getting it like normal for my bathroom not harvesting thousands in my underground bunker fs,256,Linconfess,2020,3,5,1,0.34033920413889424,0.6669034296168854,0.9713207455460892,0,1,0,London,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,13132.009909532915,0.01949435019951988,29,183,0,1,0.0,0.242,0.758,,,,,,,0.3181818181818182,0.591304347826087,-0.03656348901417785,2,0.0023088264,0.017185523799519882,0.017185523799519882
6535,6535,9640,"Trying to explain Leeds student fashion to an international parents... &quot;No, they aren't homeless. They just dress like it.&quot;",610,LeedsFess,2020,2,0,14,3.73064127613788,0.22221488349019888,0.08426519384872744,0,1,0,London,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25880.992840461302,0.023569420375803767,19,133,0,0,0.0,0.122,0.878,,,,,,,-0.13636363636363635,0.1565217391304348,1.2629010129016949,2,0.007471050600000001,0.016098369775803766,0.016098369775803766
999,999,57624,HAPPY INTERNATIONAL WOMENS DAY & HAPPY BIRTHDAY TO ME. LOVE YOURSELF AND EMPOWER YOURSELF YOU ARE AMAZING AND YOU DESERVE THE ENTIRE WORLD,154,Bristruths,2019,3,4,15,4.162610266006476,0.0736799178229538,0.2387507176420257,0,1,0,London,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15159.973616126248,0.010158329024806763,23,138,0,0,0.0,0.461,0.539,,,,,,,0.045454545454545456,0.2,0.1701405957092198,1,0.003600825,0.006557504024806763,0.006557504024806763
6406,6406,17936,"Locals are fucking mad, just saw a woman put her pint in the RPP hand dryer, she wasn’t even annoyed just shouted “FAIR PLAY” as it sprayed into her hair and clothes",12,LeedsFess,2019,12,4,11,2.8797932657906435,0.6294095225512605,0.0170370868554659,0,1,0,London,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24683.06710194609,0.0004861632450472042,32,165,1,0,0.163,0.086,0.7509999999999999,,,,,,,0.4545454545454545,0.43478260869565216,1.1408001377522354,0,0.004787127,0.004300963754952796,-0.004300963754952796
13154,14402,1085,"entitled bitches better not be sending me regrades saying this or along the lines of ""but i tried so hard, and it looks okay or i was so close. can I get some points back for trying?"". First of all, you do not get to decide if you get the points or not. If you don't have what we want according to rubric, those points don't belong to you. Second of all, the world doesn't revolve around Ariana Grande's 7 rings. Just because u see it, u like it, u want it, IT DOES NOT MEAN u got it. YOU HAVE TO EARN IT.
how many y'all gsis feel this way?",307,,2019,7,5,8,2.094395102393196,0.9330127018922194,0.2500000000000001,1,0,0,Los_Angeles,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15118.997435790403,0.020305579209455724,111,540,1,0,0.042,0.11,0.847,1564239601.0,118.0,40.0,0.0,267.0,"Haha,Like,Love",4.045454545454546,3.695652173913044,0.1659640200514582,2,0.007169805,0.013135774209455725,0.013135774209455725
9508,9508,33117,"CLUB WARS - STAGE 2 - ROUND 1:

Now to stage 2 of the battle between the clubs. First round, who will make it to the semi-final?

?? for Digital
, love.️ for TheCut

Get voting!",599,Newfess,2019,7,5,16,4.376413099375782,0.027955489803607958,0.3351546773686061,0,1,0,London,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8183.199080845631,0.0731987568776221,35,178,1,0,0.211,0.0,0.789,,,,,,,0.5909090909090909,0.5478260869565217,-0.540980510624207,2,0.014470687,0.05872806987762211,0.05872806987762211
13413,14744,1126,any one who wanna be fwb during the christmas break like this post,1,,2019,11,4,18,4.7385689191646065,0.00017133751222137006,0.5130884741539365,0,1,0,London,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10690.677501725691,9.353944124107944e-05,13,66,0,0,0.0,0.353,0.647,1575050800.0,0.0,0.0,0.0,1.0,Haha,-0.4090909090909091,-0.4260869565217391,-0.28540097028699,0,0.002266074,0.0021725345587589205,-0.0021725345587589205
7344,7344,40426,"Hmm to shit in her food or to not shit in her food, that is the question",6,Linconfess,2019,5,1,11,2.8797932657906435,0.6294095225512605,0.0170370868554659,0,1,0,London,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10017.91654593226,0.0005989269298151897,17,72,0,0,0.324,0.0,0.6759999999999999,,,,,,,-0.2272727272727273,-0.3739130434782609,-0.3539734191689881,0,0.0039901263,0.00339119937018481,-0.00339119937018481
2252,2252,77503,I can't wait for Christmas already,22,Bristruths,2018,6,5,2,0.7461282552275759,0.8394003727664708,0.8671612547178428,0,1,0,London,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11745.549011470994,0.0018730499509656167,6,34,0,0,0.0,0.0,1.0,,,,,,,-0.7272727272727273,-0.7043478260869566,-0.17788117138044254,0,0.005744334,0.0038712840490343833,-0.0038712840490343833
13262,14534,362,Is it just me who never knows how to answer when someone asks if your good in bed or not. Like funnily enough I don't get people to write a TripAdvisor review afterwards hun,4,,2020,7,2,1,0.2748893571891069,0.6357202249325371,0.9812276182268236,0,1,0,London,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14134.54023582442,0.00028299470186245456,34,173,1,0,0.124,0.08,0.7959999999999999,1594166583.0,0.0,0.0,0.0,4.0,Haha,0.5454545454545454,0.5043478260869565,0.06562133452570916,0,0.0032843123,0.0030013175981375454,-0.0030013175981375454
3553,3553,63399,What if 21 Savage is actually Madeline McCann,361,LeedsFess,2019,2,3,13,3.486295180858673,0.33104164099833666,0.029411992371814636,0,1,0,London,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18624.974353470214,0.019382577025279943,8,45,0,0,0.3,0.0,0.7,,,,,,,-0.6363636363636364,-0.6086956521739131,0.5233174319859095,2,0.0068821055,0.012500471525279944,0.012500471525279944
7400,7400,28613,"I always end up walking random people home after nights out, I shouldn’t need to. Don’t leave your mates alone at 3 in the morning unless you know for sure they’re safe, it’s a real dick move",452,Linconfess,2019,10,2,8,2.0987584255231813,0.931917752602198,0.2481130114772369,0,1,0,London,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11308.873429433115,0.03996861427625488,37,191,1,0,0.16399999999999998,0.131,0.705,,,,,,,0.6818181818181818,0.6608695652173913,-0.22239016639486686,2,0.0049562943,0.03501231997625488,0.03501231997625488
13316,14625,2057,"“LOVELY BIT OF SQUIREELL, JACKIE!”",436,,2018,5,5,16,4.428772976935611,0.0199750728070357,0.3600854929845039,0,1,0,London,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6936.793258718659,0.06285324987190645,5,34,0,0,0.0,0.0,1.0,1526745324.0,279.0,88.0,0.0,348.0,"Like,Love,Haha",-0.7727272727272727,-0.7043478260869566,-0.6680228111442005,2,0.0038882815,0.05896496837190645,0.05896496837190645
8692,8692,17265,My girlfriend and I do the same course and she always shows she's more intelligent than me by proving me wrong or mocking me and I really don't know what to do. Any advice would be helpful.,40,Newfess,2019,12,4,18,4.882558582454137,0.007221970470961125,0.5846747519245122,0,1,0,London,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9407.6495535192,0.004251859061335555,37,189,1,0,0.135,0.142,0.723,,,,,,,0.6818181818181818,0.6434782608695652,-0.4161760511458424,0,0.0020101345,0.002241724561335555,0.002241724561335555
3991,3991,43999,next cunt I see wasting valuable space in eddie b to watch game of thrones is getting a spoiler whispered in their ear,6,LeedsFess,2019,5,2,15,4.001167310197,0.1212175078079753,0.1736201237686386,0,1,0,London,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20217.06208138075,0.0002967790263416069,23,118,0,0,0.227,0.119,0.654,,,,,,,0.045454545454545456,0.02608695652173913,0.6855940227982391,0,0.0035167108,0.003219931773658393,-0.003219931773658393
